	user_id	risk_level	product	annual_return	retirement_asset_projection	covers_gap	risk_score
1	V500001	R3	现金理财	0.015	688402	False	1
2	V500001	R3	定期存款	0.020	772715	False	1
3	V500001	R3	短债类产品	0.024	849616	False	2
4	V500001	R3	固收+产品	0.0425	1353849	True	4
5	V500001	R3	年金险	0.025	870301	False	2
6	V500002	R5	现金理财	0.015	2397135	True	1
7	V500002	R5	定期存款	0.020	2587699	True	1
8	V500002	R5	短债类产品	0.024	2753396	True	2
9	V500002	R5	固收+产品	0.0425	3704172	True	4
10	V500002	R5	权益类产品	0.060	4969807	True	8
11	V500002	R5	年金险	0.025	2796785	True	2
12	V500003	R1	现金理财	0.015	1539751	True	1
13	V500003	R1	定期存款	0.020	1628975	True	1
14	V500003	R1	年金险	0.025	1723711	True	2
